date,casesperday,cumulative
03/04/2020,1,1
03/05/2020,1,2
03/06/2020,2,4
03/07/2020,0,4
03/08/2020,2,6
03/09/2020,5,11
03/10/2020,4,15
03/11/2020,8,23
03/12/2020,6,29
03/13/2020,21,50
03/14/2020,19,69
03/15/2020,31,100
03/16/2020,78,178
03/17/2020,89,267
03/18/2020,160,427
03/19/2020,315,742
03/20/2020,148,890
03/21/2020,447,1327
03/22/2020,587,1914
03/23/2020,930,2844
03/24/2020,831,3675
03/25/2020,727,4402
03/26/2020,2474,6876
03/27/2020,1949,8825
03/28/2020,2299,11124
